Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
17/3/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6.5,13.5,192,285
23/3/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5,17.3,178,279
24/3/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5,19.5,85,147
30/3/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,3.3,13,45,62
4/1/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,7.3,14.8,30,84
4/7/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6,14.5,34,61
4/8/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,4.8,10.5,23,60
17/4/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,3.8,10.9,32,74
18/4/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6.8,16.5,60,109
20/4/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,4.8,11.4,83,129
21/4/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,3.3,13.3,95,137
30/4/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,4.3,13.8,54,90
5/2/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.8,17,49,105
5/5/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5,14,35,79
5/6/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,4.5,13,41,84
5/12/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,3.3,11.3,39,72
13/5/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.8,15.8,37,69
19/5/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,2.8,8.4,45,93
20/5/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,4,12.8,58,107
26/5/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,2.5,13.8,35,62
27/5/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,4.8,16.3,35,64
6/3/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,3.3,14.8,51,93
6/4/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.5,13.5,44,81
6/10/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.5,11,29,44
6/11/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6,16,24,37
16/6/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5,13.3,23,45
17/6/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6,12.4,50,69
22/6/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,3.8,9.4,30,50
23/6/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,3.8,13.3,26,43
30/6/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,3.3,11.8,33,47
7/1/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,2.8,11.3,37,58
7/8/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,4.3,11.8,30,58
7/9/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,4.5,13.5,39,49
13/7/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,4.5,18,42,52
14/7/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6,16.5,36,46
22/7/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,3.8,13.3,49,58
23/7/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.8,13.5,34,48
28/7/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6.5,12.5,48,69
29/7/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,4.5,12.5,32,46
8/4/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6,14.8,35,62
8/5/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6.5,13,21,52
8/11/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,4.3,12,23,61
8/12/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6.5,13.8,24,51
18/8/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6.3,13.8,29,44
19/8/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,4.5,13.5,28,47
26/8/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.3,12.3,28,52
28/8/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.8,14.5,36,56
9/3/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,3.5,11.4,37,58
9/8/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,4.8,12.5,30,57
9/9/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.3,12.5,42,69
18/9/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,4.3,15.3,29,49
27/9/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5,11.8,44,99
10/1/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.5,13,50,64
10/5/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.8,12,27,35
10/6/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.5,12.3,30,45
13/10/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.8,14,26,44
14/10/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.5,15,36,57
17/10/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.5,16.8,37,54
18/10/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6,11,26,47
19/10/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5,13.3,55,82
20/10/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,6,12.3,28,60
28/10/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5,14,55,86
29/10/2009,Assam,Golaghat,Golaghat Off. Bldg.,Residential and others,5.8,10.3,81,121
1/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,9.3,21,89,137
1/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,4.8,13.8,94,127
1/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,10,12.8,56,175
1/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.8,9.6,176,273
1/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.8,14.3,86,171
1/9/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.3,14.3,117,223
1/12/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8,19.8,119,159
13/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,10.3,15.1,99,177
16/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.5,12.8,150,186
17/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.8,11.9,118,215
19/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.3,14,103,159
20/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.5,13.4,162,415
21/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5,9.9,155,259
22/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6,13.4,147,216
27/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,13,179,280
28/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.5,16,202,292
29/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6,13.3,154,244
30/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8,17.4,104,176
2/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,10.3,18.5,155,219
2/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.3,11.6,152,225
2/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,13.5,191,272
2/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.5,14.1,155,386
2/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,12,18,139,237
2/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,9.8,12.9,200,305
2/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,11.3,13.8,197,271
2/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,12.1,119,197
2/12/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,9.3,11.1,128,243
13/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.8,12.4,122,224
16/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,10.8,18,93,141
19/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,13.8,159,248
20/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,20.3,34.3,176,309
21/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,11.8,17.5,722,1046
23/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.8,13.9,170,795
24/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,18.3,260,485
25/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.5,19.8,238,544
26/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,4.5,14.5,283,453
27/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,16.5,16.5,262,648
3/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,17.8,25,308,843
3/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.8,8.6,118,241
3/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5,13.8,259,1300
3/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6,10.3,168,387
3/9/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8,11.6,124,233
3/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6,13,292,503
13/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.3,13.5,115,259
16/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.5,11.9,195,490
17/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,10.3,20.5,219,441
18/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,11.5,16.5,192,316
19/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,9.5,19.3,185,357
20/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,11,18.8,309,540
21/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,11.5,19.3,126,217
23/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8,18.5,150,265
24/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,11,23.3,158,291
25/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,10.8,30.3,156,312
26/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6,13.6,81,158
27/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,3.5,16.5,115,189
30/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,10.5,15.4,72,128
31/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.3,13,57,147
4/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.3,17.5,36,70
4/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.5,14.5,122,246
4/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.5,13.6,111,194
4/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,9,16,75,109
4/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,4.5,8.9,96,135
4/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,13.3,87,208
4/9/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.8,17.6,89,187
13/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.3,13.8,114,235
17/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6,11.6,81,135
18/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5,12.1,83,161
20/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.8,8.9,101,135
21/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.3,13,119,208
27/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.3,12.3,116,212
28/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.3,14.5,84,216
29/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.3,23.8,99,159
5/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,3.8,8,108,183
5/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5,8.9,119,177
5/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.8,14,42,74
5/8/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.8,13.3,87,132
5/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.8,14,63,107
5/12/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7,11.3,84,136
13/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,3,8.9,62,115
14/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.3,13,48,115
15/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.3,9.9,76,182
16/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.3,11.3,141,195
18/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5,13,114,177
19/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,10.3,16.3,125,186
20/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.5,17.3,84,182
21/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6,12,84,162
25/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.3,9.6,32,53
26/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,3.3,8.8,29,45
27/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5,11.5,43,107
28/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,9,14.8,89,148
29/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8,12.3,45,95
30/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.3,11.5,93,157
6/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.4,10.4,40,101
6/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.3,14.5,68,108
6/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.3,15,78,127
6/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.5,14.8,52,102
6/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.3,12.3,91,150
6/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,4.5,10.4,53,83
6/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5,11.5,51,90
6/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,2.5,11.3,71,116
6/12/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,3.3,11.1,53,67
15/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,4.5,12,74,114
16/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,3.5,11.5,67,116
17/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.3,12,87,146
18/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,4.5,13,66,116
19/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.8,10.6,95,148
20/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.8,9.6,71,147
22/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,2.8,12,81,133
23/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.8,14.3,94,150
24/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.3,15.8,39,105
29/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,4,9.4,39,60
30/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.5,12.8,60,96
7/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,4,14.5,49,103
7/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,3.5,11.5,28,63
7/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.3,10.6,57,85
7/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7,13.3,38,64
7/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,4.3,13,76,109
7/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7,18,24,48
7/8/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.5,16.3,34,57
7/9/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6,11.3,40,68
7/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.3,11.5,41,99
13/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,9.5,14.8,52,91
14/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6,18.5,55,87
15/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,9.8,17,123,179
16/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,10.3,15.8,46,88
17/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,15.8,47,75
18/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.5,13.5,30,71
20/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,4.8,15.8,34,71
21/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,3.3,13.5,32,64
22/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,4.3,16.8,29,58
23/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,3.5,16.8,31,53
24/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,3.8,13,45,76
27/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,4,10.4,20,37
29/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,3.3,11.8,26,53
31/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6,13,31,64
8/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.8,14.3,51,74
8/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.5,13.8,40,63
8/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,4.5,13.3,37,51
8/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5,12.3,71,90
8/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,14.3,31,57
8/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.8,13,21,33
8/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.8,14,50,65
8/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5,14.8,45,67
8/12/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.3,15,45,69
13/8/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.8,12.8,44,66
18/8/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.8,15,60,85
20/8/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8,12.8,50,115
21/8/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7,11.8,82,139
24/8/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6,12,71,138
25/8/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.3,14,117,153
26/8/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.8,15.3,74,104
27/8/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6,14,46,81
28/8/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.8,13.8,42,75
29/8/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.8,15.8,36,81
31/8/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7,13.8,44,92
9/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.3,13.8,49,65
9/2/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,13.3,40,78
9/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7,13,43,73
9/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,13.8,46,57
9/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.3,14,52,97
9/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.3,15,35,90
9/8/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.8,13.8,60,84
9/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,13.3,33,88
14/9/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6,16,58,91
15/9/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.3,13.8,84,148
16/9/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.3,13.5,129,173
18/9/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6,12.8,31,49
19/9/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.3,13.8,14,39
22/9/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.8,11.6,30,43
23/9/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,9.5,13.8,39,73
24/9/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,10.3,15,35,63
29/9/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.8,15,58,115
30/9/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.3,15.3,60,119
10/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6,18.3,58,89
10/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.5,13.8,57,95
10/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,16,47,83
10/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,14.5,20,37
10/8/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.3,15,21,40
10/9/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.5,9.9,51,85
10/12/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.8,14.3,91,152
13/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.5,15,82,140
14/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,14.3,78,100
15/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.8,15,71,157
19/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8,15.8,96,238
20/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,9.5,15.3,121,181
21/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.8,14.3,124,232
22/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8,14.3,97,158
23/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.3,14.8,101,153
26/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,5.8,14.8,129,172
27/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,16,115,162
28/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7,14.3,113,181
29/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.3,18.8,108,209
30/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,9,15.8,123,195
31/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.5,16,101,201
11/3/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.5,14.8,129,230
11/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7,12.3,122,231
11/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6,15.8,107,182
11/6/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,11.3,16.5,112,181
11/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,12.5,22.5,113,219
11/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,16.3,151,257
11/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.8,15.8,116,219
11/12/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.3,15.5,175,271
13/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.5,15,243,379
16/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.5,13.8,118,176
17/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,12.3,20.3,111,189
18/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,13.5,89,155
20/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.8,14.3,190,304
21/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7,16.3,214,282
23/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7,17,198,250
25/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.8,15.5,152,271
26/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,11.3,18.3,214,361
27/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,9.8,16.8,217,368
30/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,9.8,17.8,125,225
12/1/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.3,17,134,224
12/4/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,9.5,18.8,239,349
12/5/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,11,17,196,258
12/7/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,9.3,16.3,212,263
12/8/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,10.8,17,225,441
12/9/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.5,16.3,227,338
12/10/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,10.8,16.3,168,278
12/11/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,10.3,18,200,243
14/12/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,6.8,17.3,222,366
15/12/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.8,18.3,260,372
16/12/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,7.3,17.5,201,310
17/12/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.5,17,244,324
18/12/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,8.5,17.8,206,331
19/12/2009,Assam,Guwahati,Gopinath Nagar,Residential and others,9,19.3,172,307
1/1/2009,Assam,Guwahati,Head Office,Residential and others,8.8,16.5,243,392
1/2/2009,Assam,Guwahati,Head Office,Residential and others,9,30.5,149,258
1/3/2009,Assam,Guwahati,Head Office,Residential and others,12.3,19.8,214,445
1/5/2009,Assam,Guwahati,Head Office,Residential and others,5.3,51,235,409
1/6/2009,Assam,Guwahati,Head Office,Residential and others,14.3,26.3,175,375
1/7/2009,Assam,Guwahati,Head Office,Residential and others,4,16.8,184,336
1/9/2009,Assam,Guwahati,Head Office,Residential and others,15.3,28.3,205,356
1/12/2009,Assam,Guwahati,Head Office,Residential and others,10.8,42.3,326,585
13/1/2009,Assam,Guwahati,Head Office,Residential and others,12.8,31.5,327,597
16/1/2009,Assam,Guwahati,Head Office,Residential and others,17.5,25,216,375
17/1/2009,Assam,Guwahati,Head Office,Residential and others,14.3,29,205,352
19/1/2009,Assam,Guwahati,Head Office,Residential and others,10,21.3,253,353
21/1/2009,Assam,Guwahati,Head Office,Residential and others,19,33.5,297,449
22/1/2009,Assam,Guwahati,Head Office,Residential and others,9.5,22.5,276,382
27/1/2009,Assam,Guwahati,Head Office,Residential and others,12.5,26,290,422
28/1/2009,Assam,Guwahati,Head Office,Residential and others,13.5,23.5,234,367
29/1/2009,Assam,Guwahati,Head Office,Residential and others,16.8,32.8,259,402
30/1/2009,Assam,Guwahati,Head Office,Residential and others,8,22,294,451
2/2/2009,Assam,Guwahati,Head Office,Residential and others,17,30.8,218,356
2/3/2009,Assam,Guwahati,Head Office,Residential and others,16.3,21.3,259,388
2/4/2009,Assam,Guwahati,Head Office,Residential and others,16,23.8,250,386
2/5/2009,Assam,Guwahati,Head Office,Residential and others,10,27,267,519
2/6/2009,Assam,Guwahati,Head Office,Residential and others,12,26,263,428
